3598,1,375,34
3599,1,378,34
3600,1,380,35
3601,1,382,37
3602,1,382,41
3603,1,379,53
3604,1,375,66
3605,1,373,75
3606,1,371,83
3607,1,371,90
3608,1,371,97
3609,1,373,101
3610,1,376,102
3611,1,380,104
3612,1,387,104
3613,1,395,105
3614,1,401,106
3615,1,405,106
3616,1,408,106
3617,1,411,106
3618,1,413,106
3619,1,413,106
3620,1,414,106
3621,1,414,106
3622,1,414,106
3623,1,415,106
3624,1,416,106
3625,1,417,106
3626,1,419,106
3626,2,381,43
3627,1,420,106
3627,2,372,56
3628,1,421,108
3628,2,365,65
3629,1,424,108
3629,2,358,72
3630,1,427,108
3630,2,351,78
3631,1,432,108
3631,2,344,83
3632,1,437,109
3632,2,339,85
3633,1,444,108
3633,2,336,88
3634,1,449,108
3634,2,333,88
3635,1,456,108
3635,2,331,88
3636,1,464,107
3636,2,329,87
3637,1,472,104
3637,2,328,86
3638,1,481,101
3638,2,325,85
3639,1,488,101
3639,2,322,84
3640,1,491,104
3640,2,318,84
3641,1,493,106
3641,2,315,83
3642,1,491,113
3642,2,311,83
3643,1,486,121
3643,2,309,83
3644,1,482,130
3644,2,305,83
3645,1,478,136
3645,2,301,84
3646,1,475,140
3646,2,297,85
3647,1,475,143
3647,2,294,85
3648,1,475,145
3648,2,288,84
3649,1,476,147
3649,2,285,84
3649,4,359,35
3650,1,478,149
3650,2,282,84
3650,4,350,58
3651,1,480,152
3651,2,280,87
3651,4,345,70
3652,1,483,153
3652,2,275,91
3652,4,343,76
3653,1,486,154
3653,2,271,96
3653,4,343,78
3654,1,490,156
3654,2,267,100
3654,4,344,77
3655,1,499,158
3655,2,262,101
3655,4,347,77
3656,1,505,160
3656,2,257,103
3656,4,351,75
3657,2,252,104
3657,4,354,74
3658,2,247,105
3658,4,355,74
3659,2,243,105
3659,4,357,78
3660,1,503,178
3660,2,239,105
3660,4,357,83
3661,1,495,193
3661,2,233,104
3661,4,357,92
3662,1,490,203
3662,2,229,104
3662,4,357,98
3663,1,487,209
3663,2,225,103
3663,4,359,102
3664,1,487,212
3664,2,221,103
3664,4,361,103
3665,1,489,214
3665,2,218,103
3665,4,365,103
3666,1,490,216
3666,2,215,103
3666,4,368,104
3667,1,494,217
3667,2,211,102
3667,4,374,104
3668,1,500,218
3668,2,207,102
3668,4,378,103
3669,1,504,220
3669,2,203,102
3669,4,382,103
3670,2,197,102
3670,4,386,104
3671,2,190,101
3671,4,389,106
3672,2,184,101
3672,4,392,109
3673,2,180,101
3673,4,396,114
3674,1,502,242
3674,2,177,101
3674,4,399,119
3675,1,496,251
3675,2,175,101
3675,4,402,123
3675,5,349,39
3676,1,491,260
3676,2,174,101
3676,4,404,125
3676,5,353,44
3677,1,488,266
3677,2,172,100
3677,4,406,126
3677,5,356,47
3678,1,487,271
3678,2,169,100
3678,4,408,126
3678,5,357,51
3679,1,486,275
3679,2,165,99
3679,4,410,126
3679,5,358,54
3680,1,486,277
3680,2,161,96
3680,4,413,126
3680,5,358,57
3681,1,486,280
3681,2,156,93
3681,4,416,126
3681,5,360,58
3682,1,486,280
3682,2,151,91
3682,4,419,126
3682,5,362,59
3683,1,488,281
3683,2,147,92
3683,4,422,127
3683,5,364,59
3684,1,489,281
3684,2,142,93
3684,4,424,126
3684,5,365,60
3685,1,491,281
3685,2,137,96
3685,4,425,126
3685,5,366,60
3686,1,494,282
3686,2,133,99
3686,4,425,125
3686,5,363,62
3687,1,497,282
3687,2,128,102
3687,4,426,125
3687,5,358,64
3688,1,497,285
3688,2,125,104
3688,4,426,125
3688,5,354,65
3689,1,496,289
3689,2,121,105
3689,4,426,124
3689,5,350,66
3690,1,488,304
3690,2,118,106
3690,4,426,124
3690,5,347,67
3691,1,478,319
3691,2,115,106
3691,4,427,122
3691,5,345,70
3692,1,472,329
3692,2,112,107
3692,4,428,121
3692,5,342,72
3693,1,469,335
3693,2,110,107
3693,4,428,121
3693,5,340,74
3694,1,468,337
3694,2,107,107
3694,4,428,121
3694,5,338,75
3695,1,469,338
3695,2,105,108
3695,4,429,120
3695,5,336,76
3696,1,470,339
3696,2,102,109
3696,4,430,120
3696,5,334,77
3697,1,473,339
3697,2,99,110
3697,4,429,120
3697,5,333,76
3698,1,476,340
3698,2,96,112
3698,4,430,120
3698,5,329,75
3699,1,480,340
3699,2,93,112
3699,4,431,120
3699,5,325,74
3700,1,484,340
3700,2,90,113
3700,4,431,120
3700,5,321,74
3701,1,488,340
3701,2,89,112
3701,4,432,121
3701,5,317,74
3702,1,491,341
3702,2,87,112
3702,4,433,120
3702,5,313,75
3703,1,494,342
3703,2,84,115
3703,4,434,121
3703,5,308,80
3704,1,496,343
3704,2,82,120
3704,4,436,121
3704,5,301,86
3705,1,499,344
3705,2,80,122
3705,4,437,121
3705,5,293,92
3706,1,500,344
3706,2,79,125
3706,4,437,122
3706,5,287,97
3707,1,502,344
3707,2,77,128
3707,4,438,122
3707,5,280,100
3708,1,503,345
3708,2,76,130
3708,4,438,122
3708,5,274,101
3709,1,504,345
3709,2,75,131
3709,4,438,122
3709,5,267,102
3710,1,505,346
3710,2,74,132
3710,4,439,122
3710,5,260,103
3711,2,73,132
3711,4,439,121
3711,5,256,104
3712,2,72,133
3712,4,439,121
3712,5,254,104
3713,2,71,133
3713,4,439,121
3713,5,252,104
3714,2,71,132
3714,4,439,121
3714,5,249,103
3715,1,505,354
3715,2,70,133
3715,4,439,121
3715,5,245,103
3716,1,503,360
3716,2,70,132
3716,4,439,122
3716,5,241,102
3717,1,500,366
3717,2,69,132
3717,4,438,122
3717,5,236,102
3718,2,69,132
3718,4,438,121
3718,5,231,101
3719,2,69,132
3719,4,438,121
3719,5,224,101
3720,2,69,132
3720,4,438,121
3720,5,217,100
3721,2,69,132
3721,4,438,121
3721,5,211,100
3722,2,69,131
3722,4,438,121
3722,5,205,99
3723,2,69,131
3723,4,437,121
3723,5,201,99
3724,2,69,131
3724,4,437,121
3724,5,198,99
3725,2,69,131
3725,4,437,121
3725,5,195,98
3726,2,69,131
3726,4,436,121
3726,5,192,97
3727,2,69,131
3727,4,436,121
3727,5,191,97
3728,2,70,131
3728,4,436,121
3728,5,190,96
3729,2,70,131
3729,4,436,121
3729,5,189,96
3730,2,70,131
3730,4,436,121
3730,5,188,95
3731,2,70,131
3731,4,436,121
3731,5,188,95
3732,2,70,130
3732,4,436,121
3732,5,188,94
3733,2,70,130
3733,4,435,121
3733,5,187,92
3734,2,70,130
3734,4,435,121
3734,5,185,90
3735,2,70,130
3735,4,435,121
3735,5,182,87
3736,1,489,366
3736,2,70,130
3736,4,435,121
3736,5,179,84
3737,1,489,365
3737,2,70,130
3737,4,435,121
3737,5,177,82
3738,1,490,364
3738,2,70,130
3738,4,435,122
3738,5,175,80
3739,1,491,362
3739,2,70,130
3739,4,435,121
3739,5,173,79
3740,1,493,361
3740,2,70,130
3740,4,435,121
3740,5,172,78
3741,1,494,359
3741,2,70,130
3741,4,435,121
3741,5,172,78
3742,1,495,358
3742,2,70,130
3742,4,435,121
3742,5,171,78
3743,1,496,357
3743,2,70,130
3743,4,435,121
3743,5,171,78
3744,1,497,356
3744,2,70,130
3744,4,435,121
3744,5,171,78
3745,1,498,355
3745,2,70,130
3745,4,435,120
3745,5,171,78
3746,1,498,355
3746,2,70,130
3746,4,435,120
3746,5,171,78
3747,1,498,355
3747,2,70,130
3747,4,435,120
3747,5,171,79
3748,1,499,355
3748,2,70,130
3748,4,434,120
3748,5,171,79
3749,1,499,355
3749,2,70,130
3749,4,434,120
3749,5,172,78
3750,1,499,354
3750,2,70,130
3750,4,434,120
3750,5,172,78
3751,1,499,354
3751,2,70,130
3751,4,434,120
3751,5,172,78
3752,1,499,354
3752,2,70,130
3752,4,435,120
3752,5,172,78
3753,1,499,353
3753,2,70,130
3753,4,435,120
3753,5,172,78
3754,1,499,353
3754,2,70,130
3754,4,435,120
3754,5,172,78
3755,1,498,353
3755,2,70,130
3755,4,434,120
3755,5,172,78
3756,1,498,353
3756,2,70,130
3756,4,434,120
3756,5,172,78
3757,1,497,353
3757,2,70,131
3757,4,434,120
3757,5,172,78
3758,1,497,353
3758,2,70,131
3758,4,433,120
3758,5,172,78
3759,1,496,353
3759,2,70,130
3759,4,433,120
3759,5,172,78
3760,1,496,353
3760,2,70,130
3760,4,434,119
3760,5,172,78
3761,1,496,353
3761,2,70,130
3761,4,434,119
3761,5,172,78
3762,1,495,353
3762,2,70,130
3762,4,434,119
3762,5,173,78
3763,1,495,353
3763,2,70,130
3763,4,435,119
3763,5,173,78
3764,1,495,353
3764,2,70,130
3764,4,435,120
3764,5,173,78
3765,1,495,353
3765,2,70,130
3765,4,435,120
3765,5,173,78
3766,1,495,353
3766,2,70,130
3766,4,435,121
3766,5,173,78
3767,1,495,353
3767,2,70,130
3767,4,436,121
3767,5,173,78
3768,1,495,353
3768,2,70,130
3768,4,436,121
3768,5,173,78
3769,1,495,353
3769,2,70,130
3769,4,436,121
3769,5,173,78
3770,1,494,353
3770,2,70,130
3770,4,437,122
3770,5,173,78
3771,1,494,353
3771,2,70,130
3771,4,438,122
3771,5,173,78
3772,1,494,353
3772,2,70,131
3772,4,438,122
3772,5,172,78
3773,1,494,353
3773,2,70,131
3773,4,439,122
3773,5,172,78
3774,1,494,353
3774,2,70,131
3774,4,439,122
3774,5,171,78
3775,1,494,353
3775,2,70,130
3775,4,440,122
3775,5,171,78
3776,1,494,352
3776,2,70,130
3776,4,440,122
3776,5,172,78
3777,1,494,352
3777,2,70,130
3777,4,439,122
3777,5,172,78
3778,1,494,352
3778,2,71,130
3778,4,439,122
3778,5,172,77
3779,1,494,352
3779,2,71,130
3779,4,438,122
3779,5,172,77
3780,1,494,352
3780,2,71,130
3780,4,437,122
3780,5,173,77
3781,1,494,353
3781,2,71,130
3781,4,436,123
3781,5,174,78
3782,1,495,353
3782,2,71,131
3782,4,435,122
3782,5,175,78
3783,1,495,353
3783,2,71,131
3783,4,434,123
3783,5,177,78
3784,1,495,353
3784,2,71,131
3784,4,433,123
3784,5,178,79
3785,1,495,353
3785,2,71,131
3785,4,432,123
3785,5,179,79
3786,1,495,353
3786,2,71,131
3786,4,431,124
3786,5,181,80
3787,1,495,353
3787,2,71,131
3787,4,430,125
3787,5,183,81
3788,1,495,353
3788,2,71,131
3788,4,428,126
3788,5,186,82
3789,1,495,353
3789,2,72,131
3789,4,426,129
3789,5,189,83
3790,1,495,353
3790,2,72,131
3790,4,423,133
3790,5,192,84
3791,1,495,353
3791,2,73,131
3791,4,420,137
3791,5,194,84
3792,1,495,353
3792,2,73,131
3792,4,417,141
3792,5,197,85
3793,1,495,353
3793,2,74,132
3793,4,414,144
3793,5,200,85
3794,1,495,353
3794,2,75,132
3794,4,413,147
3794,5,207,87
3795,1,495,353
3795,2,76,132
3795,4,412,148
3795,5,214,89
3796,1,495,353
3796,2,76,133
3796,4,411,149
3796,5,219,91
3797,1,495,353
3797,2,76,134
3797,4,411,149
3797,5,222,96
3798,1,494,353
3798,2,77,135
3798,4,411,149
3798,5,223,105
3799,1,494,352
3799,2,78,136
3799,4,411,149
3799,5,226,111
3800,1,494,352
3800,2,78,139
3800,4,412,149
3800,5,230,115
3801,1,493,352
3801,2,78,142
3801,4,412,149
3801,5,235,117
3802,1,492,352
3802,2,77,147
3802,4,413,149
3802,5,239,120
3803,1,491,352
3803,2,77,151
3803,4,413,149
3803,5,244,121
3804,1,490,352
3804,2,77,154
3804,4,413,149
3804,5,251,121
3805,1,489,351
3805,2,77,158
3805,4,414,149
3805,5,258,120
3806,1,488,351
3806,2,77,161
3806,4,415,148
3806,5,264,118
3807,1,487,351
3807,2,78,165
3807,4,416,149
3807,5,270,117
3808,1,487,351
3808,2,79,167
3808,4,416,149
3808,5,275,117
3809,1,485,351
3809,2,80,169
3809,4,416,149
3809,5,281,117
3810,1,484,351
3810,2,81,170
3810,4,416,149
3810,5,287,118
3811,1,484,351
3811,2,82,172
3811,4,416,148
3811,5,294,119
3812,1,483,350
3812,2,82,173
3812,4,417,148
3812,5,300,121
3813,1,482,350
3813,2,83,174
3813,4,417,148
3813,5,305,121
3814,1,481,350
3814,2,84,174
3814,4,417,148
3814,5,309,122
3815,1,480,350
3815,2,85,174
3815,4,417,147
3815,5,312,122
3816,1,479,349
3816,2,86,175
3816,4,417,147
3816,5,316,123
3817,1,478,349
3817,2,88,175
3817,4,417,147
3817,5,323,125
3818,1,477,349
3818,2,90,175
3818,4,418,147
3818,5,327,126
3819,1,477,349
3819,2,92,175
3819,4,418,148
3819,5,329,127
3820,1,477,349
3820,2,93,175
3820,4,418,148
3820,5,331,127
3821,1,476,349
3821,2,94,175
3821,4,419,148
3821,5,332,126
3822,1,476,349
3822,2,95,177
3822,4,419,148
3822,5,332,125
3823,1,475,348
3823,2,97,180
3823,4,419,148
3823,5,332,125
3824,1,474,348
3824,2,98,183
3824,4,419,148
3824,5,333,124
3825,1,471,347
3825,2,100,186
3825,4,419,148
3825,5,334,123
3826,1,468,346
3826,2,101,187
3826,4,419,148
3826,5,336,120
3827,1,465,346
3827,2,102,189
3827,4,419,148
3827,5,336,119
3828,1,461,345
3828,2,104,190
3828,4,419,148
3828,5,338,117
3829,1,458,344
3829,2,106,191
3829,4,419,148
3829,5,340,115
3830,1,455,344
3830,2,107,192
3830,4,419,148
3830,5,342,111
3831,1,453,343
3831,2,108,194
3831,4,419,148
3831,5,344,108
3832,1,450,343
3832,2,109,195
3832,4,420,149
3832,5,346,106
3833,1,448,342
3833,2,110,198
3833,4,419,149
3833,5,347,106
3834,1,447,342
3834,2,111,200
3834,4,419,149
3834,5,347,105
3835,1,446,341
3835,2,111,205
3835,4,418,148
3835,5,348,104
3836,1,445,341
3836,2,111,214
3836,4,415,149
3836,5,348,102
3837,1,444,340
3837,2,110,229
3837,4,409,150
3837,5,349,100
3838,1,443,339
3838,2,109,242
3838,4,403,152
3838,5,350,98
3839,1,442,337
3839,2,108,252
3839,4,397,156
3839,5,350,97
3840,1,442,334
3840,2,108,260
3840,4,391,160
3840,5,351,97
3841,1,443,329
3841,2,108,267
3841,4,387,163
3841,5,351,97
3842,1,445,323
3842,2,108,272
3842,4,385,166
3842,5,351,97
3843,1,448,315
3843,2,108,277
3843,4,382,166
3843,5,350,97
3844,1,451,308
3844,2,107,280
3844,4,380,167
3844,5,350,97
3845,1,453,302
3845,2,107,282
3845,4,377,166
3845,5,351,96
3846,1,454,296
3846,2,107,284
3846,4,373,166
3846,5,351,96
3847,1,451,290
3847,2,108,285
3847,4,369,165
3847,5,351,97
3848,1,445,286
3848,2,110,287
3848,4,365,164
3848,5,353,95
3849,1,439,284
3849,2,112,288
3849,4,362,166
3849,5,354,91
3850,1,435,282
3850,2,113,289
3850,4,356,171
3850,5,358,83
3851,1,431,282
3851,2,115,290
3851,4,350,178
3851,5,362,74
3852,1,427,281
3852,2,117,290
3852,4,343,183
3852,5,365,69
3853,1,423,280
3853,2,118,289
3853,4,337,188
3853,5,366,68
3854,1,420,280
3854,2,120,290
3854,4,331,191
3854,5,367,68
3855,1,417,279
3855,2,122,290
3855,4,326,192
3855,5,368,68
3856,1,414,278
3856,2,122,291
3856,4,321,192
3856,5,368,67
3857,1,412,277
3857,2,123,292
